hanja,kor,link
加,더할 가,https://namu.wiki/w/%E5%8A%A0
可,옳을 가:,https://namu.wiki/w/%E5%8F%AF
改,고칠 개(:)[44],https://namu.wiki/w/%E6%94%B9
擧,들 거:,https://namu.wiki/w/%E6%93%A7
去,갈 거:,https://namu.wiki/w/%E5%8E%BB
件,물건 건,https://namu.wiki/w/%E4%BB%B6
建,세울 건:,https://namu.wiki/w/%E5%BB%BA
健,굳셀 건:,https://namu.wiki/w/%E5%81%A5
輕,가벼울 경,https://namu.wiki/w/%E8%BC%95
競,다툴 경:,https://namu.wiki/w/%E7%AB%B6
景,볕 경(:)[45],https://namu.wiki/w/%E6%99%AF
考,생각할 고(:)[46],https://namu.wiki/w/%E8%80%83
固,굳을 고(:)[47],https://namu.wiki/w/%E5%9B%BA
曲,굽을 곡,https://namu.wiki/w/%E6%9B%B2
橋,다리 교,https://namu.wiki/w/%E6%A9%8B
救,구원할 구:,https://namu.wiki/w/%E6%95%91
貴,귀할 귀:,https://namu.wiki/w/%E8%B2%B4
規,법 규,https://namu.wiki/w/%E8%A6%8F
給,줄 급,https://namu.wiki/w/%E7%B5%A6
汽,물끓는김 기,https://namu.wiki/w/%E6%B1%BD
期,기약할 기,https://namu.wiki/w/%E6%9C%9F
技,재주 기,https://namu.wiki/w/%E6%8A%80
吉,길할 길,https://namu.wiki/w/%E5%90%89
壇,단 단,https://namu.wiki/w/%E5%A3%87
談,말씀 담,https://namu.wiki/w/%E8%AB%87
都,도읍 도,https://namu.wiki/w/%E9%83%BD
島,섬 도,https://namu.wiki/w/%E5%B3%B6
落,떨어질 락,https://namu.wiki/w/%E8%90%BD
冷,찰 랭:,https://namu.wiki/w/%E5%86%B7
量,헤아릴 량,https://namu.wiki/w/%E9%87%8F
領,거느릴 령,https://namu.wiki/w/%E9%A0%98
令,하여금 령(:)[48],https://namu.wiki/w/%E4%BB%A4
料,헤아릴 료(:)[49],https://namu.wiki/w/%E6%96%99
馬,말 마:,https://namu.wiki/w/%E9%A6%AC
末,끝 말,https://namu.wiki/w/%E6%9C%AB
亡,망할 망,https://namu.wiki/w/%E4%BA%A1
