hanja,kor,radical,total_num_of_strokes,level
陵,언덕 릉,阜,11획,준3급
吏,벼슬아치/관리 리,口,6획,준3급
履,밟을 리,尸,15획,준3급
裏,속 리,衣,13획,준3급
臨,임할 림,臣,17획,준3급
磨,갈 마,石,16획,준3급
麻,삼 마,麻,11획,준3급
漠,넓을 막,水,14획,준3급
莫,없을 막,艸,11획,준3급
幕,장막 막,巾,14획,준3급
晚,늦을 만,日,11획,준3급
妄,망령될 망,女,6획,준3급
媒,중매 매,女,12획,준3급
梅,매화 매,木,11획,준3급
麥,보리 맥,麥,11획,준3급
孟,맏 맹,子,8획,준3급
猛,사나울 맹,犬,11획,준3급
盲,소경/눈멀 맹,目,8획,준3급
盟,맹세 맹,皿,13획,준3급
眠,잘 면,目,10획,준3급
綿,솜 면,糸,14획,준3급
免,면할 면,儿,7획,준3급
滅,꺼질/멸할 멸,水,13획,준3급
銘,새길 명,金,14획,준3급
謀,꾀 모,言,16획,준3급
貌,모양 모,豸,14획,준3급
慕,그릴 모,心,15획,준3급
睦,화목할 목,目,13획,준3급
沒,빠질 몰,水,7획,준3급
蒙,어두울 몽,艸,14획,준3급
夢,꿈 몽,夕,14획,준3급
貿,무역할 무,貝,12획,준3급
茂,무성할 무,艸,9획,준3급
墨,먹 묵,土,15획,준3급
默,잠잠할 묵,黑,16획,준3급
紋,무늬 문,糸,10획,준3급
勿,말 물,勹,4획,준3급
微,작을 미,彳,13획,준3급
尾,꼬리 미,尸,7획,준3급
迫,핍박할 박,辵,9획,준3급
薄,엷을 박,艸,17획,준3급
般,가지/일반 반,舟,10획,준3급
盤,소반 반,皿,15획,준3급
飯,밥 반,食,13획,준3급
拔,뽑을 발,手,8획,준3급
芳,꽃다울 방,艸,8획,준3급
輩,무리 배,車,15획,준3급
培,북돋울 배,土,11획,준3급
排,밀칠 배,手,11획,준3급
伯,맏 백,人,7획,준3급
繁,번성할 번,糸,17획,준3급
凡,무릇 범,几,3획,준3급
碧,푸를 벽,石,14획,준3급
丙,남녘 병,一,5획,준3급
譜,족보 보,言,19획,준3급
補,기울 보,衣,12획,준3급
覆,"덮을 부, 다시 복",襾,18획,준3급
腹,배 복,肉,13획,준3급
鳳,봉새 봉,鳥,14획,준3급
封,봉할 봉,寸,9획,준3급
峯,봉우리 봉,山,10획,준3급
逢,만날 봉,辵,11획,준3급
符,부호 부,竹,11획,준3급
付,부칠 부,人,5획,준3급
浮,뜰 부,水,10획,준3급
賦,부세 부,貝,15획,준3급
腐,썩을 부,肉,14획,준3급
附,붙을 부,阜,8획,준3급
簿,문서 부,竹,19획,준3급
扶,도울 부,手,7획,준3급
奔,달릴 분,大,8획,준3급
奮,떨칠 분,大,16획,준3급
紛,어지러울 분,糸,10획,준3급
拂,떨칠 불,手,8획,준3급
妃,왕비 비,女,6획,준3급
婢,계집종 비,女,11획,준3급
肥,살찔 비,肉,8획,준3급
卑,낮을 비,十,8획,준3급
邪,간사할 사,邑,7획,준3급
沙,모래 사,水,7획,준3급
司,맡을 사,口,5획,준3급
蛇,뱀 사 긴뱀 사,虫,11획,준3급
斜,비낄 사,斗,11획,준3급
詞,말/글 사,言,12획,준3급
祀,제사 사,示,8획,준3급
削,깎을 삭,刀,9획,준3급
森,수풀 삼,木,12획,준3급
霜,서리 상,雨,17획,준3급
裳,치마 상,衣,14획,준3급
桑,뽕나무 상,木,10획,준3급
喪,잃을 상,口,12획,준3급
詳,자세할 상,言,13획,준3급
尙,오히려 상,小,8획,준3급
像,모양 상,人,14획,준3급
償,갚을 상,人,17획,준3급
索,"찾을 색, 노 삭",糸,10획,준3급
塞,"막힐 색, 변방 새",土,13획,준3급
恕,용서할 서,心,10획,준3급
緖,실마리 서,糸,15획,준3급
徐,천천할 서,彳,10획,준3급
署,마을 서,网,14획,준3급
惜,아낄 석,心,11획,준3급
釋,풀 석,釆,20획,준3급
禪,선 선,示,17획,준3급
旋,돌 선,方,11획,준3급
訴,호소할 소,言,12획,준3급
燒,사를 소,火,16획,준3급
疏,소통할 소,疋,12획,준3급
蘇,되살아날 소,艸,20획,준3급
訟,송사할 송,言,11획,준3급
鎖,쇠사슬 쇄,金,18획,준3급
刷,인쇄할 쇄,刀,8획,준3급
衰,쇠할 쇠,衣,10획,준3급
愁,근심 수,心,13획,준3급
壽,목숨 수,士,14획,준3급
帥,장수 수,巾,9획,준3급
殊,다를 수,歹,10획,준3급
輸,보낼 수,車,16획,준3급
隨,따를 수,阜,16획,준3급
需,"쓰일/쓸 수, 구할 수",雨,14획,준3급
垂,드리울 수,土,8획,준3급
獸,짐승 수,犬,19획,준3급
淑,맑을 숙,水,11획,준3급
熟,익을 숙,火,15획,준3급
旬,열흘 순,日,6획,준3급
